epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,9312.52,0.5614,0.47782,1.05894,0.98455,0.96906,0.98543,0.92299,0.40354,0.26037,0.92038,0.0005876,0.0005876,0.0005876
109,9400.8,0.56141,0.47474,1.0555,0.98549,0.96557,0.98935,0.92593,0.4009,0.26198,0.91874,0.0005744,0.0005744,0.0005744
110,9485.18,0.55139,0.47052,1.04598,0.98219,0.96859,0.98686,0.93105,0.39923,0.25544,0.92083,0.0005612,0.0005612,0.0005612
111,9571.03,0.54709,0.46181,1.04862,0.98635,0.9668,0.98819,0.92986,0.4007,0.25919,0.92079,0.000548,0.000548,0.000548
112,9659.73,0.55032,0.47494,1.05135,0.98637,0.96841,0.98609,0.9337,0.39471,0.25607,0.91973,0.0005348,0.0005348,0.0005348
113,9750.12,0.53176,0.45984,1.04454,0.98171,0.96823,0.98989,0.93222,0.39018,0.25134,0.9169,0.0005216,0.0005216,0.0005216
114,9851.59,0.53657,0.45711,1.04365,0.98184,0.97241,0.98796,0.9313,0.38813,0.2459,0.91568,0.0005084,0.0005084,0.0005084
115,9962.61,0.53061,0.4533,1.04513,0.9831,0.97287,0.98676,0.93496,0.38509,0.24681,0.91299,0.0004952,0.0004952,0.0004952
116,10060.7,0.53172,0.4494,1.045,0.97895,0.97223,0.98726,0.93713,0.38379,0.25074,0.91082,0.000482,0.000482,0.000482
117,10167.1,0.53699,0.4549,1.04775,0.98654,0.96488,0.99027,0.93468,0.3808,0.25342,0.91019,0.0004688,0.0004688,0.0004688
118,10252.4,0.52749,0.45727,1.04389,0.97335,0.97723,0.98865,0.93308,0.38023,0.24925,0.90876,0.0004556,0.0004556,0.0004556
119,10336.1,0.53072,0.45856,1.03687,0.98625,0.96321,0.98616,0.93485,0.3796,0.24837,0.90758,0.0004424,0.0004424,0.0004424
120,10420.7,0.52615,0.43357,1.03639,0.97891,0.97003,0.98558,0.93503,0.37562,0.25336,0.90747,0.0004292,0.0004292,0.0004292
121,10506.1,0.52537,0.43858,1.03805,0.97564,0.97096,0.98663,0.93746,0.37803,0.24905,0.90681,0.000416,0.000416,0.000416
122,10594.7,0.51761,0.44068,1.03358,0.98325,0.96321,0.9881,0.93996,0.37316,0.24643,0.90504,0.0004028,0.0004028,0.0004028
123,10679.3,0.51256,0.43833,1.02682,0.98763,0.96405,0.98596,0.9378,0.37301,0.24407,0.90491,0.0003896,0.0003896,0.0003896
124,10774.6,0.50416,0.43118,1.02102,0.98955,0.96321,0.9864,0.93902,0.37077,0.24558,0.90216,0.0003764,0.0003764,0.0003764
125,10860,0.51111,0.43739,1.0279,0.98912,0.96656,0.98741,0.93801,0.37153,0.24282,0.90455,0.0003632,0.0003632,0.0003632
126,10944.3,0.51092,0.4281,1.03105,0.98292,0.97324,0.98652,0.94247,0.36859,0.23894,0.90573,0.00035,0.00035,0.00035
127,11028,0.50505,0.43161,1.02923,0.97898,0.97365,0.98725,0.9398,0.36835,0.23901,0.90503,0.0003368,0.0003368,0.0003368
128,11117.9,0.51536,0.43011,1.03597,0.98193,0.96823,0.98827,0.94015,0.36524,0.23864,0.90176,0.0003236,0.0003236,0.0003236
129,11197.2,0.50426,0.42572,1.03111,0.98426,0.96906,0.98739,0.93855,0.36528,0.23697,0.90268,0.0003104,0.0003104,0.0003104
130,11274.6,0.50507,0.42452,1.02895,0.97983,0.97495,0.98918,0.93945,0.36072,0.23695,0.89958,0.0002972,0.0002972,0.0002972
131,11353.2,0.50796,0.43719,1.03605,0.98545,0.97659,0.98771,0.93973,0.36081,0.23769,0.89959,0.000284,0.000284,0.000284
132,11433.2,0.50002,0.41843,1.02588,0.9873,0.9751,0.98753,0.93922,0.36057,0.23617,0.89853,0.0002708,0.0002708,0.0002708
133,11513.6,0.48558,0.41051,1.0129,0.99042,0.97575,0.98993,0.93942,0.35924,0.23279,0.89793,0.0002576,0.0002576,0.0002576
134,11591.9,0.48902,0.41547,1.01875,0.9856,0.97311,0.98945,0.9418,0.35686,0.23435,0.8962,0.0002444,0.0002444,0.0002444
135,11670.6,0.49282,0.40956,1.01231,0.98798,0.96823,0.98934,0.94121,0.35742,0.23471,0.89796,0.0002312,0.0002312,0.0002312
136,11749.1,0.48476,0.41114,1.0199,0.98719,0.97157,0.98962,0.94168,0.35567,0.23547,0.89595,0.000218,0.000218,0.000218
