epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,7265.74,0.85652,0.73503,1.19337,0.9232,0.86426,0.92937,0.65019,1.25417,1.03654,1.5149,0.00332457,0.00332457,0.00332457
94,7345.02,0.85087,0.72936,1.19703,0.91563,0.87485,0.93166,0.65339,1.2452,1.03826,1.50237,0.00322778,0.00322778,0.00322778
95,7423.16,0.84574,0.72706,1.19118,0.92805,0.87118,0.93059,0.65574,1.23099,0.99677,1.50504,0.0031318,0.0031318,0.0031318
96,7501.45,0.84572,0.72529,1.18747,0.91998,0.87582,0.93223,0.65827,1.22269,0.95904,1.51189,0.00303665,0.00303665,0.00303665
97,7580.04,0.82729,0.71735,1.17848,0.91934,0.88158,0.93314,0.66003,1.219,0.93304,1.52094,0.00294239,0.00294239,0.00294239
98,7657.3,0.81654,0.7092,1.17236,0.91719,0.88081,0.93256,0.66007,1.21772,0.90809,1.523,0.00284906,0.00284906,0.00284906
99,7735.8,0.81324,0.69486,1.17059,0.93352,0.86492,0.9341,0.65919,1.2198,0.87967,1.52468,0.00275668,0.00275668,0.00275668
100,7812.92,0.81588,0.69221,1.17246,0.92524,0.87635,0.93436,0.65957,1.22212,0.86921,1.53156,0.00266532,0.00266532,0.00266532
101,7890.61,0.80382,0.68307,1.16737,0.92772,0.87473,0.93306,0.6598,1.22205,0.8706,1.5311,0.002575,0.002575,0.002575
102,7969.65,0.80638,0.7007,1.17153,0.93124,0.87037,0.9349,0.66295,1.21838,0.86562,1.52909,0.00248577,0.00248577,0.00248577
103,8047.45,0.78627,0.66951,1.15573,0.91844,0.878,0.93422,0.66216,1.21571,0.86199,1.52488,0.00239766,0.00239766,0.00239766
104,8125.31,0.79284,0.66948,1.15805,0.9155,0.87333,0.93166,0.66184,1.21557,0.8596,1.52537,0.00231071,0.00231071,0.00231071
105,8203.66,0.77597,0.65104,1.15033,0.92195,0.87908,0.93278,0.66249,1.21337,0.8723,1.52273,0.00222497,0.00222497,0.00222497
106,8282.49,0.76784,0.64608,1.14503,0.91915,0.87929,0.93442,0.66398,1.21046,0.88603,1.52149,0.00214046,0.00214046,0.00214046
107,8360.25,0.77098,0.65062,1.14474,0.91511,0.88453,0.93307,0.66305,1.21188,0.88912,1.52387,0.00205723,0.00205723,0.00205723
108,8438.04,0.77467,0.65552,1.14635,0.9172,0.88087,0.9321,0.6629,1.21265,0.88302,1.52745,0.00197532,0.00197532,0.00197532
109,8516.56,0.76513,0.65143,1.14105,0.91925,0.88041,0.9324,0.66242,1.21226,0.8825,1.52741,0.00189475,0.00189475,0.00189475
110,8594.32,0.74617,0.63041,1.1295,0.91852,0.87908,0.93237,0.66269,1.21289,0.88615,1.52736,0.00181557,0.00181557,0.00181557
111,8672.7,0.75505,0.62577,1.13732,0.92005,0.87754,0.93319,0.66389,1.21557,0.89013,1.52926,0.0017378,0.0017378,0.0017378
112,8750.78,0.74181,0.62327,1.1273,0.92427,0.87746,0.93326,0.6634,1.21741,0.89205,1.53081,0.00166149,0.00166149,0.00166149
113,8828.42,0.7376,0.62374,1.12236,0.91498,0.87927,0.93233,0.66413,1.2195,0.89379,1.53593,0.00158667,0.00158667,0.00158667
114,8906.83,0.7292,0.60294,1.11382,0.92025,0.87908,0.93226,0.66667,1.22009,0.90014,1.53912,0.00151336,0.00151336,0.00151336
115,8984.28,0.73801,0.61178,1.12337,0.91754,0.88126,0.93154,0.66724,1.21902,0.89956,1.54033,0.00144161,0.00144161,0.00144161
116,9062.93,0.73267,0.62127,1.12222,0.92122,0.87899,0.93238,0.66728,1.21886,0.89961,1.54085,0.00137143,0.00137143,0.00137143
117,9141.06,0.72043,0.60222,1.1134,0.91992,0.88235,0.93187,0.66884,1.21858,0.90158,1.54194,0.00130287,0.00130287,0.00130287
118,9218.64,0.71635,0.59505,1.11062,0.92445,0.87968,0.93174,0.66776,1.21747,0.90971,1.54192,0.00123596,0.00123596,0.00123596
119,9297.24,0.71577,0.59222,1.11464,0.91924,0.88033,0.9317,0.66995,1.21617,0.90784,1.5439,0.00117072,0.00117072,0.00117072
120,9375.44,0.71068,0.58255,1.10908,0.91758,0.88017,0.93186,0.66977,1.21734,0.91228,1.54635,0.00110718,0.00110718,0.00110718
121,9454.56,0.70207,0.57832,1.10488,0.92014,0.87691,0.93176,0.66987,1.21819,0.91466,1.54852,0.00104537,0.00104537,0.00104537
122,9532.39,0.70708,0.57893,1.10447,0.92213,0.87712,0.93235,0.67021,1.21851,0.91739,1.55037,0.000985311,0.000985311,0.000985311
123,9610.52,0.69053,0.5732,1.09663,0.92258,0.87691,0.93206,0.66922,1.21796,0.91729,1.55111,0.00092704,0.00092704,0.00092704
