epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1443.08,1.29397,1.44665,1.4512,0.80827,0.65482,0.75769,0.38433,1.78433,1.66615,1.75416,0.00178068,0.00178068,0.00178068
110,1456.1,1.29494,1.41054,1.44153,0.78131,0.66195,0.75211,0.37938,1.78723,1.68408,1.82487,0.00177676,0.00177676,0.00177676
111,1469.08,1.26222,1.41548,1.44811,0.78602,0.69036,0.76437,0.38452,1.81802,1.58326,1.81227,0.00177281,0.00177281,0.00177281
112,1482.01,1.29596,1.44776,1.44975,0.81017,0.65228,0.74448,0.3727,1.8357,1.66201,1.86104,0.00176883,0.00176883,0.00176883
113,1495.1,1.27578,1.37613,1.44147,0.75638,0.64618,0.74131,0.35792,1.84902,1.69143,1.83889,0.00176482,0.00176482,0.00176482
114,1508.17,1.25896,1.4224,1.43258,0.81052,0.69543,0.76688,0.37661,1.79835,1.60775,1.81886,0.00176078,0.00176078,0.00176078
115,1521.06,1.27961,1.42931,1.43976,0.74156,0.69797,0.75384,0.37781,1.80868,1.64002,1.80408,0.00175671,0.00175671,0.00175671
116,1533.93,1.24813,1.39023,1.41555,0.82099,0.71008,0.79412,0.3971,1.79838,1.58912,1.78928,0.00175261,0.00175261,0.00175261
117,1546.95,1.22407,1.34152,1.40207,0.88283,0.70754,0.80537,0.39504,1.79649,1.49472,1.8186,0.00174848,0.00174848,0.00174848
118,1559.91,1.24105,1.37956,1.41447,0.79655,0.71827,0.76917,0.38586,1.83316,1.60127,1.81514,0.00174432,0.00174432,0.00174432
119,1572.84,1.23619,1.37211,1.42076,0.72172,0.68782,0.75341,0.36366,1.84624,1.61678,1.85838,0.00174014,0.00174014,0.00174014
120,1585.92,1.24381,1.38427,1.42224,0.80175,0.67766,0.75575,0.37373,1.8554,1.59492,1.85654,0.00173592,0.00173592,0.00173592
121,1598.92,1.22675,1.38006,1.41254,0.84424,0.66751,0.79246,0.38252,1.82741,1.55694,1.83208,0.00173168,0.00173168,0.00173168
122,1612.05,1.2391,1.33473,1.41298,0.82761,0.70051,0.78928,0.38425,1.82515,1.55265,1.82601,0.00172741,0.00172741,0.00172741
123,1625.06,1.25956,1.35582,1.43799,0.79469,0.71716,0.79233,0.40847,1.72484,1.53086,1.73472,0.00172311,0.00172311,0.00172311
124,1638.49,1.2326,1.39127,1.41132,0.80337,0.70515,0.77274,0.37092,1.82806,1.53646,1.84807,0.00171878,0.00171878,0.00171878
125,1651.68,1.22297,1.34562,1.40226,0.80651,0.69036,0.77838,0.40254,1.79233,1.56266,1.79007,0.00171442,0.00171442,0.00171442
126,1664.96,1.19278,1.35648,1.39693,0.75049,0.74619,0.78548,0.38856,1.83357,1.59927,1.84346,0.00171004,0.00171004,0.00171004
127,1678.18,1.22692,1.32888,1.40271,0.75258,0.71827,0.76979,0.38052,1.81599,1.56144,1.85829,0.00170562,0.00170562,0.00170562
128,1691.21,1.1946,1.32399,1.37551,0.80951,0.71827,0.79014,0.39798,1.79685,1.56744,1.79408,0.00170118,0.00170118,0.00170118
129,1704.12,1.22888,1.32174,1.39313,0.78216,0.68346,0.76716,0.38454,1.8244,1.62167,1.82326,0.00169672,0.00169672,0.00169672
130,1717.36,1.17723,1.28138,1.38194,0.78178,0.71827,0.78111,0.39142,1.79116,1.59591,1.79937,0.00169222,0.00169222,0.00169222
131,1730.37,1.18497,1.2557,1.36468,0.75024,0.67766,0.74095,0.38504,1.78775,1.63552,1.82251,0.0016877,0.0016877,0.0016877
132,1743.35,1.20349,1.27072,1.38427,0.77995,0.70169,0.7658,0.38996,1.81161,1.60078,1.84616,0.00168315,0.00168315,0.00168315
133,1756.36,1.20444,1.28214,1.37887,0.78702,0.70558,0.77765,0.40063,1.79049,1.54519,1.8169,0.00167858,0.00167858,0.00167858
134,1769.41,1.20708,1.27496,1.37041,0.76651,0.69543,0.75822,0.38172,1.80339,1.56514,1.82623,0.00167398,0.00167398,0.00167398
135,1782.32,1.20786,1.30971,1.37597,0.75374,0.72081,0.76465,0.37769,1.81064,1.5203,1.84019,0.00166935,0.00166935,0.00166935
136,1795.56,1.18708,1.26622,1.37088,0.82728,0.67766,0.78767,0.40001,1.7668,1.44907,1.7708,0.0016647,0.0016647,0.0016647
137,1808.55,1.1801,1.26715,1.36986,0.77115,0.69289,0.75053,0.3787,1.83898,1.53091,1.85471,0.00166002,0.00166002,0.00166002
138,1821.51,1.1676,1.25306,1.36077,0.77114,0.70558,0.75803,0.37711,1.85099,1.54661,1.8942,0.00165532,0.00165532,0.00165532
139,1834.61,1.16104,1.2415,1.36507,0.78125,0.70812,0.7674,0.38415,1.85677,1.52361,1.9011,0.00165059,0.00165059,0.00165059
